Company,Designation,Locations,Established Year,Employees Count,Link,HR_Name,Experience,Followers,Skills1,Skills2,Skills3,Skills4,Skills5,Skills6,Skills7,Cluster,Experience Category
Owens & Minor,Systems Engineer,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248551-systems-engineer-blue-yonder-t500-6957-at-owens-minor-work-from-home/,Omkar Sonawane,1-3 Years,73519,WMS,,,,,,,Class1,Junior Level
Owens & Minor,Systems Engineer,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248558-systems-engineer-blue-yonder-t500-7012-at-owens-minor-work-from-home/,Omkar Sonawane,1-2 Years,73519,WMS,,,,,,,Class1,Junior Level
Prodt Consulting Services,Dotnet Developer,Mumbai,2018,0 - 10 employees,https://www.instahyre.com/job-248555-dotnet-developer-at-prodt-consulting-services-mumbai/,Jyotsana Iyer,3-6 Years,13412,,,,,,,,Class2,Junior Level
Signzy,Sales Manager,Bangalore,2015,50 - 200 employees,https://www.instahyre.com/job-248553-sales-manager-at-signzy-bangalore/,Rahul Mishra,2-5 Years,57859,Sales,,,,,,,Class2,Junior Level
Signzy,Sales Manager,Gurgaon,2015,50 - 200 employees,https://www.instahyre.com/job-248556-sales-manager-at-signzy-gurgaon/,Rahul Mishra,2-5 Years,57859,Sales,,,,,,,Class2,Junior Level
Signzy,Sales Manager,Mumbai,2015,50 - 200 employees,https://www.instahyre.com/job-248559-sales-manager-at-signzy-mumbai/,Rahul Mishra,2-5 Years,57859,Sales,,,,,,,Class2,Junior Level
Amazon Devices,SDE II,Bangalore,1994,More than 1000 employees,https://www.instahyre.com/job-248540-sde-ii-at-amazon-devices-bangalore/,Udhaya Kumar,3-7 Years,498,C,Golang,Java,Python,Django,,,Class1,Junior Level
Commvault,Software Engineer,Bangalore,1996,More than 1000 employees,https://www.instahyre.com/job-248537-software-engineer-php-and-python-at-commvault-bangalore/,Vinod Kumar,3-6 Years,120878,Golang,PHP,Python,Django,Flask,Laravel,,Class1,Junior Level
Moltech Solutions,.NET Developer,Ahmedabad,2014,10 - 50 employees,https://www.instahyre.com/job-248539-net-developer-at-moltech-solutions-ahmedabad/,Himani Khatri,0-2 Years,1453,CSS,HTML,,,,,,Class2,Fresher
Neudesic,Power BI Developer,Work From Home,2002,500 - 1000 employees,https://www.instahyre.com/job-248545-power-bi-developer-at-neudesic-work-from-home/,Viswam Zenith,3-6 Years,78000,Power,BI,Tableau,,,,,Class4,Junior Level
Owens & Minor,Systems Engineer,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248544-systems-engineer-blue-yonder-at-owens-minor-work-from-home/,Omkar Sonawane,2-4 Years,73519,WMS,,,,,,,Class1,Junior Level
Owens & Minor,Systems Engineer,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248536-systems-engineer-blue-yonder-t500-6879-at-owens-minor-work-from-home/,Omkar Sonawane,2-4 Years,73519,WMS,,,,,,,Class1,Junior Level
PhonePe,SDE 3,Bangalore,2015,More than 1000 employees,https://www.instahyre.com/job-248538-sde-3-backend-at-phonepe-bangalore/,Abhishu Venkata Varahagiri,5-8 Years,621000,Java,Data,Structures,DevOps,Algorithms,AWS,,Class1,Mid-Level
PhonePe,SDE 3,Bangalore,2015,More than 1000 employees,https://www.instahyre.com/job-248543-sde-3-frontend-at-phonepe-bangalore/,Abhishu Venkata Varahagiri,5-8 Years,621000,JavaScript,CSS,HTML,,,,,Class1,Mid-Level
Rakuten,Senior DevOps Engineer Redisaas,Bangalore,1997,More than 1000 employees,https://www.instahyre.com/job-248547-senior-devops-engineer-redisaas-at-rakuten-2-bangalore/,Geetha Sree,5-9 Years,206793,CI,CD,Linux,Ansible,AWS,Chef,Docker,Class1,Mid-Level
Visionet Systems,Azure Data Lead Engineer,Bangalore,1995,500 - 1000 employees,https://www.instahyre.com/job-248541-azure-data-lead-engineer-at-visionet-systems-bangalore/,Robin Raju,7-12 Years,2000,Azure,Data,Factory,Databricks,SQL,CI,CD,Class4,Senior Level
Alaan,Application Architect,United Arab Emirates (UAE),2021,10 - 50 employees,https://www.instahyre.com/job-248533-application-architect-at-alaan-united-arab-emirates-uae/,Suranjan Barman,10-15 Years,2014,Java,AWS,Architecture,Kafka,Spring,,,Class2,Senior Level
Amazon Devices,Senior Software Development Engineer,Bangalore,1994,More than 1000 employees,https://www.instahyre.com/job-248534-senior-software-development-engineer-at-amazon-devices-bangalore-chennai/,Sivakumaran Bc,10-14 Years,498,C,Embedded,C,Embedded,Embedded,Linux,,Class1,Senior Level
Cotiviti,Audit Support and Collections Specialist,Hyderabad,1979,More than 1000 employees,https://www.instahyre.com/job-248524-audit-support-and-collections-specialist-at-cotiviti-hyderabad/,Swathi Nune,0-1 Years,96300,Auditing,MIPS,Yield,Management,Data,Collection,Sales,Class1,Fresher
EverestEngineering,Business Analyst,Work From Home,2018,50 - 200 employees,https://www.instahyre.com/job-248528-business-analyst-at-everestengineering-work-from-home/,Dinesh A,4-8 Years,3451,Product,Management,,,,,,Class2,Mid-Level
Intel,Program Manager,Bangalore,1968,More than 1000 employees,https://www.instahyre.com/job-248531-program-manager-at-intel-2-bangalore/,Vishwas K,5-10 Years,3281590,Program,Management,Project,Management,,,,Class1,Mid-Level
Max Life Insurance,Relationship Manager,Kanpur,2000,More than 1000 employees,https://www.instahyre.com/job-248527-relationship-manager-at-max-life-insurance-kanpur/,Piyush Mishra,2-5 Years,261914,Sales,Business,Development,Direct,Sales,Corporate,Sales,Class1,Junior Level
Owens & Minor,Junior IT Network Engineer [T500,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248529-junior-it-network-engineer-t500-7060-at-owens-minor-work-from-home/,Omkar Sonawane,0-2 Years,73519,Routing,,,,,,,Class1,Fresher
Owens & Minor,ServiceNow Developer,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248535-servicenow-developer-cmdb-t500-7081-at-owens-minor-work-from-home/,Omkar Sonawane,3-7 Years,73519,ServiceNow,,,,,,,Class1,Junior Level
RingCentral,Fullstack Engineer,Bangalore,2003,More than 1000 employees,https://www.instahyre.com/job-248525-fullstack-engineer-at-ringcentral-bangalore/,Pallavi Padhy,4-8 Years,210074,Golang,JavaScript,Python,,,,,Class1,Mid-Level
RingCentral,Rust Developer,Bangalore,2003,More than 1000 employees,https://www.instahyre.com/job-248532-rust-developer-at-ringcentral-bangalore/,Pallavi Padhy,4-8 Years,210074,Java,PHP,Ruby,,,,,Class1,Mid-Level
ABA Infotech,Software Engineer,Gurgaon,2018,10 - 50 employees,https://www.instahyre.com/job-248515-software-engineer-at-aba-infotech-gurgaon/,Anju Sharma,0-1 Years,95,JavaScript,,,,,,,Class2,Fresher
CommerceIQ,Lead Software Engineer / SDE 3,Bangalore,2012,200 - 500 employees,https://www.instahyre.com/job-248514-lead-software-engineer-sde-3-at-commerceiq-bangalore/,Tanvi Sinha,6-10 Years,5836,Java,Spring,Boot,,,,,Class2,Mid-Level
Globant,Salesforce Developer,Ahmedabad,2003,More than 1000 employees,https://www.instahyre.com/job-248518-salesforce-developer-at-globant-ahmedabad-bangalore-pune/,Priya Shivanna,4-6 Years,765000,Salesforce,,,,,,,Class1,Mid-Level
Owens & Minor,IT Network Engineer,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248517-it-network-engineer-cisco-t500-7061-at-owens-minor-work-from-home/,Omkar Sonawane,2-3 Years,73519,Firewalls,VPN,,,,,,Class1,Junior Level
Owens & Minor,IT Network Engineer,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248506-it-network-engineer-cisco-t500-7065-at-owens-minor-work-from-home/,Omkar Sonawane,3-7 Years,73519,Firewalls,,,,,,,Class1,Junior Level
Owens & Minor,Senior IT Network Engineer,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248513-senior-it-network-engineer-cisco-t500-7071-at-owens-minor-work-from-home/,Omkar Sonawane,8-11 Years,73519,Firewalls,VPN,,,,,,Class1,Senior Level
Owens & Minor,Senior IT Network Manager,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248509-senior-it-network-manager-cisco-t500-7070-at-owens-minor-work-from-home/,Omkar Sonawane,8-11 Years,73519,Firewalls,VPN,,,,,,Class1,Senior Level
RingCentral,"Senior Fullstack Engineer Node, React",Bangalore,2003,More than 1000 employees,https://www.instahyre.com/job-248520-senior-fullstack-engineer-node-react-at-ringcentral-bangalore/,Pallavi Padhy,6-10 Years,210074,JavaScript,Angular,,,,,,Class1,Mid-Level
VK Investments,Business Development Executive,Chennai,2019,0 - 10 employees,https://www.instahyre.com/job-248516-business-development-executive-at-vk-investments-chennai/,Iyyapan,3-6 Years,1333,Finance,Fund,Raising,Business,Development,Sales,,Class2,Junior Level
Zepto,Analytics,Mumbai,2021,More than 1000 employees,https://www.instahyre.com/job-248512-analytics-bi-manager-at-zepto-mumbai/,Pallavi M R,6-8 Years,197231,Power,BI,Python,R,SQL,Tableau,,Class1,Mid-Level
Capri Global Capital,Senior Software Engineer,Gurgaon,1997,500 - 1000 employees,https://www.instahyre.com/job-248494-senior-software-engineer-at-capri-global-capital-gurgaon/,Rituraj Rai,4-6 Years,54000,Python,Django,Data,Structures,Algorithms,AWS,,Class4,Mid-Level
Delhivery,Software Engineer,Gurgaon,2011,More than 1000 employees,https://www.instahyre.com/job-248502-software-engineer-python-at-delhivery-gurgaon/,Srishti Basu,2-3 Years,655811,Python,Django,Flask,,,,,Class1,Junior Level
Knoct,Chief Technology Officer,Hyderabad,2021,0 - 10 employees,https://www.instahyre.com/job-248495-chief-technology-officer-at-knoct-hyderabad-work-from-home/,Sonali Manjrekar,3-5 Years,438,AWS,Blockchain,Ethereum,Solidity,,,,Class2,Junior Level
Lokal,Manager,Bangalore,2018,50 - 200 employees,https://www.instahyre.com/job-248496-manager-sales-ops-at-lokal-bangalore/,Visshnu Vyshag,3-7 Years,42077,Operations,Management,,,,,,Class2,Junior Level
Owens & Minor,IT Infrastructure Engineer [T500,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248499-it-infrastructure-engineer-t500-7079-at-owens-minor-work-from-home/,Omkar Sonawane,3-7 Years,73519,ITSM,,,,,,,Class1,Junior Level
Owens & Minor,IT Network Engineer,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248503-it-network-engineer-cisco-t500-7064-at-owens-minor-work-from-home/,Omkar Sonawane,3-7 Years,73519,Firewalls,,,,,,,Class1,Junior Level
Owens & Minor,IT Network Engineer,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248501-it-network-engineer-cisco-t500-7075-at-owens-minor-work-from-home/,Omkar Sonawane,3-7 Years,73519,Cisco,Firewalls,,,,,,Class1,Junior Level
PhysicsWallah,Backend Engineer,Bangalore,2014,More than 1000 employees,https://www.instahyre.com/job-248498-backend-engineer-at-physicswallah-bangalore-noida/,Jitendra Shukla,4-8 Years,193211,Golang,Java,Python,,,,,Class1,Mid-Level
VMware,Engineering Manager,Bangalore,1998,More than 1000 employees,https://www.instahyre.com/job-248504-engineering-manager-at-vmware-bangalore/,Chetana,10-14 Years,5000,Java,Hibernate,Spring,Struts,,,,Class1,Senior Level
Zolve,Senior Growth Marketing Manager,Bangalore,2019,50 - 200 employees,https://www.instahyre.com/job-248505-senior-growth-marketing-manager-at-zolve-2-bangalore/,Priyal,8-13 Years,12479,SEM,SEO,,,,,,Class2,Senior Level
Akmazo Capital,Technical Support Engineer,Work From Home,2022,0 - 10 employees,https://www.instahyre.com/job-248480-technical-support-engineer-at-akmazo-capital-work-from-home/,Bhavisha Patel,2-5 Years,765000,HTML,JavaScript,SQL,Technical,Support,,,Class2,Junior Level
Cornerstone OnDemand,Senior Talent Operations Partner,Work From Home,1999,More than 1000 employees,https://www.instahyre.com/job-248486-senior-talent-operations-partner-at-cornerstone-ondemand-work-from-home/,Soumitra Kumar,5-8 Years,110851,Legal,Compliance,Mergers,and,Acquisitions,,,Class1,Mid-Level
Knoct,Chief Business Officer,Hyderabad,2021,0 - 10 employees,https://www.instahyre.com/job-248491-chief-business-officer-at-knoct-hyderabad-work-from-home/,Sonali Manjrekar,5-7 Years,438,Brand,Management,Business,Development,,,,Class2,Mid-Level
Mintoak Innovations,Sr. Java Developer,Bangalore,2017,10 - 50 employees,https://www.instahyre.com/job-248489-sr-java-developer-at-mintoak-innovations-bangalore/,Srishti Rai,5-10 Years,1892,Spring,Boot,MySQL,Hibernate,Azure,Java,,Class2,Mid-Level
Owens & Minor,Senior SharePoint Administrator [T500,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248485-senior-sharepoint-administrator-t500-6917-at-owens-minor-work-from-home/,Omkar Sonawane,6-10 Years,73519,SharePoint,,,,,,,Class1,Mid-Level
Quizizz,Buisness Analyst,Bangalore,2015,50 - 200 employees,https://www.instahyre.com/job-248479-buisness-analyst-at-quizizz-bangalore/,Nishant Shankar,2-6 Years,49917,Microsoft,Excel,Power,BI,QlikView,SQL,Tableau,Class2,Junior Level
RingCentral,Sr. Frontend Engineer,Bangalore,2003,More than 1000 employees,https://www.instahyre.com/job-248478-sr-frontend-engineer-at-ringcentral-bangalore/,Kamalpreet Kaur,7-11 Years,210074,CSS,HTML,JavaScript,,,,,Class1,Senior Level
Verizon Communications,Software Developer,Chennai,1983,More than 1000 employees,https://www.instahyre.com/job-248481-software-developer-at-verizon-communications-chennai/,Agniv Debnath,3-8 Years,167,React,Native,Java,NoSQL,,,,Class1,Junior Level
Verizon Communications,Software Engineer,Hyderabad,1983,More than 1000 employees,https://www.instahyre.com/job-248483-software-engineer-at-verizon-communications-hyderabad/,Agniv Debnath,3-8 Years,167,React,Native,Java,Spring,,,,Class1,Junior Level
Vintage Coders,Full Stack Developer,Work From Home,2013,10 - 50 employees,https://www.instahyre.com/job-248484-full-stack-developer-at-vintage-coders-work-from-home/,Er Sahil Sharma,2-5 Years,70,Java,JavaScript,PHP,Angular,CodeIgniter,Laravel,,Class2,Junior Level
91Squarefeet,Pocurement Manager,Mumbai,2019,50 - 200 employees,https://www.instahyre.com/job-248470-pocurement-manager-at-91squarefeet-mumbai/,Swapnil Nautiyal,3-8 Years,8283,Procurement,Vendor,Management,Supply,Chain,Management,,Class2,Junior Level
Awign,Ruby on Rails Developer,Bangalore,2016,200 - 500 employees,https://www.instahyre.com/job-248471-ruby-on-rails-developer-at-awign-2-bangalore/,Praveen Sah,2-6 Years,59454,Ruby,Ruby,on,Rails,,,,Class2,Junior Level
CRED,SDE,Bangalore,2018,200 - 500 employees,https://www.instahyre.com/job-248472-sde-2-backend-at-cred-bangalore/,Sindhu Chakraborty Ramachandran,2-5 Years,361000,Java,Data,Structures,Algorithms,DevOps,,,Class2,Junior Level
CRED,SDE,Bangalore,2018,200 - 500 employees,https://www.instahyre.com/job-248474-sde-2-frontend-at-cred-bangalore/,Sindhu Chakraborty Ramachandran,2-5 Years,361000,JavaScript,CSS,HTML,Bootstrap,,,,Class2,Junior Level
CRED,SDE 3,Bangalore,2018,200 - 500 employees,https://www.instahyre.com/job-248475-sde-3-frontend-at-cred-bangalore/,Sindhu Chakraborty Ramachandran,5-8 Years,361000,JavaScript,HTML,CSS,Bootstrap,,,,Class2,Mid-Level
Inspire Brands,PMO Manager,Hyderabad,2018,More than 1000 employees,https://www.instahyre.com/job-248473-pmo-manager-agile-coach-t500-6464-at-inspire-brands-hyderabad/,Omkar Sonawane,13-18 Years,84000,Agile,Scrum,,,,,,Class1,Senior Level
MatrixCare,Full Stack Developer,Bangalore,1982,500 - 1000 employees,https://www.instahyre.com/job-248466-full-stack-developer-at-matrixcare-bangalore/,Varsha Gaud,3-5 Years,13000,Java,Angular,Spring,Microservices,,,,Class4,Junior Level
MatrixCare,Senior Full Stack Developer,Bangalore,1982,500 - 1000 employees,https://www.instahyre.com/job-248467-senior-full-stack-developer-at-matrixcare-bangalore/,Varsha Gaud,6-10 Years,13000,Java,Angular,Python,Spring,,,,Class4,Mid-Level
Owens & Minor,Blue Yonder Developer [T500,Work From Home,1882,More than 1000 employees,https://www.instahyre.com/job-248477-blue-yonder-developer-t500-6858-at-owens-minor-work-from-home/,Omkar Sonawane,5-8 Years,73519,SQL,Blue,Yonder,,,,,Class1,Mid-Level
Rocketlane,Backend Engineer,Chennai,2020,10 - 50 employees,https://www.instahyre.com/job-248476-backend-engineer-at-rocketlane-chennai/,Garnet Chaves,3-5 Years,11931,Java,Spring,AWS,,,,,Class2,Junior Level
3 Minds Digital,Cognos Developer,Hyderabad,2016,10 - 50 employees,https://www.instahyre.com/job-248456-cognos-developer-at-3-minds-digital-hyderabad/,Muni Reddy Yerrappa,4-8 Years,3,SQL,Shell,Scripting,Unix,Cognos,Analysis,Studio,Class2,Mid-Level
Advance Auto Parts,Frontend Engineer Analytics Focus,Work From Home,1932,More than 1000 employees,https://www.instahyre.com/job-248460-frontend-engineer-analytics-focus-at-advance-auto-parts-work-from-home/,John Anthony Naveen,3-6 Years,110113,JavaScript,HTML,JSON,AWS,Python,,,Class1,Junior Level
BetterPlace,Senior DevOps Engineer,Bangalore,2015,500 - 1000 employees,https://www.instahyre.com/job-248465-senior-devops-engineer-at-betterplace-bangalore/,Vishal Negi,6-10 Years,70605,Google,Cloud,Kubernetes,AWS,Cloud,Computing,Azure,Class4,Mid-Level
Delta Air Lines,Lead Developer,Bangalore,1928,More than 1000 employees,https://www.instahyre.com/job-248464-lead-developer-at-delta-air-lines-bangalore/,Thanusha Reddy,6-11 Years,1000000,Java,AWS,Angular,API,Testing,,,Class1,Mid-Level
Delta Air Lines,Senior Developer,Bangalore,1928,More than 1000 employees,https://www.instahyre.com/job-248462-senior-developer-at-delta-air-lines-bangalore/,Thanusha Reddy,3-7 Years,1000000,Java,Angular,AWS,,,,,Class1,Junior Level
Freshworks,Lead Software Engineer,Chennai,2010,More than 1000 employees,https://www.instahyre.com/job-248458-lead-software-engineer-backend-at-freshworks-chennai/,Prakash Selvakumar,6-10 Years,622739,Java,Ruby,,,,,,Class1,Mid-Level
Fyers,AVP Project / Program Management,Bangalore,2015,50 - 200 employees,https://www.instahyre.com/job-248455-avp-project-program-management-at-fyers-bangalore/,Channaraju Chan,15-20 Years,7959,Project,Management,Agile,PMP,Program,Management,,Class2,Senior Level
Lifesight,Customer Success Ops,Bangalore,2017,50 - 200 employees,https://www.instahyre.com/job-248457-customer-success-ops-at-lifesight-bangalore/,Avisha Anand,2-6 Years,21606,Key,Account,Management,Operations,Management,,,Class2,Junior Level
NIUM,Senior Manager / Manager Technical Accounting,Mumbai,2014,More than 1000 employees,https://www.instahyre.com/job-248454-senior-manager-manager-technical-accounting-at-nium-mumbai/,Raja Raguram,8-12 Years,163695,Accounting,Auditing,Finance,Taxation,Budgeting,,,Class1,Senior Level
Tekion,Staff Engineer Frontnend,Bangalore,2016,50 - 200 employees,https://www.instahyre.com/job-248461-staff-engineer-frontnend-at-tekion-bangalore/,Ankit Sinha,7-10 Years,80000,JavaScript,HTML,Architecture,,,,,Class2,Senior Level
Apps10X,Quality Assurance Engineer,Bangalore,2018,10 - 50 employees,https://www.instahyre.com/job-248448-quality-assurance-engineer-at-apps10x-bangalore/,Aneesa Pathan,3-6 Years,3305,Automation,Testing,Manual,Testing,Mobile,Apps,Testing,Class2,Junior Level
Avis Budget Group,Senior Software Development Engineer,Bangalore,1946,More than 1000 employees,https://www.instahyre.com/job-248443-senior-software-development-engineer-at-avis-budget-group-bangalore/,Raveendra Banoth,5-8 Years,126796,Oracle,Database,AWS,JavaScript,,,,Class1,Mid-Level
Eureka Forbes,Product Head,Gurgaon,1982,More than 1000 employees,https://www.instahyre.com/job-248442-product-head-at-eureka-forbes-gurgaon/,Arun Sreenivasan,13-18 Years,51000,Product,Management,,,,,,Class1,Senior Level
Fyers,Tech Lead Mobile App,Bangalore,2015,50 - 200 employees,https://www.instahyre.com/job-248451-tech-lead-mobile-app-at-fyers-bangalore/,Channaraju Chan,10-15 Years,7959,Flutter,iOS,Android,Java,Hybrid,Apps,,Class2,Senior Level
goSTOPS,Guest Relations Executive,Bangalore,2014,50 - 200 employees,https://www.instahyre.com/job-248445-guest-relations-executive-at-gostops-bangalore-delhi-kochi/,Mayank Yadav,0-2 Years,18000,Operations,Management,,,,,,Class2,Fresher
Reachlocal Services,Senior Manager,Mumbai,2004,More than 1000 employees,https://www.instahyre.com/job-248453-senior-manager-at-reachlocal-services-mumbai/,Sharmila M,10-15 Years,34845,Digital,Marketing,Operations,Management,,,,Class1,Senior Level
Rippling,Staff Engineer,Bangalore,2016,More than 1000 employees,https://www.instahyre.com/job-248449-staff-engineer-at-rippling-bangalore/,Sindur P Hegde,8-12 Years,67342,C,Golang,Java,Python,Ruby,,,Class1,Senior Level
Tazapay,Frontend Engineer,Chennai,2020,10 - 50 employees,https://www.instahyre.com/job-248452-frontend-engineer-at-tazapay-chennai/,Janani S,2-5 Years,9001,Angular,JavaScript,,,,,,Class2,Junior Level
Verizon Communications,Data Solution Analyst,Bangalore,1983,More than 1000 employees,https://www.instahyre.com/job-248447-data-solution-analyst-at-verizon-communications-bangalore/,Rakesh Patil,9-12 Years,167,Teradata,BigQuery,Data,Modelling,SQL,,,Class1,Senior Level
Zorang,Android Developer,Gurgaon,2014,10 - 50 employees,https://www.instahyre.com/job-248446-android-developer-at-zorang-gurgaon/,Srishti Aswal,3-6 Years,5485,Android,,,,,,,Class2,Junior Level
ACT Fibernet,Sales Executive,Delhi,2008,More than 1000 employees,https://www.instahyre.com/job-248430-sales-executive-at-act-fibernet-delhi/,Madhulika Khatri,1-6 Years,52000,Sales,Optical,Fiber,Broadband,BTL,,,Class1,Junior Level
Chakr Innovation,CHAKR Innovation,Pune,2016,50 - 200 employees,https://www.instahyre.com/job-248436-chakr-innovation-at-chakr-innovation-pune/,Prashant Trivedi,2-5 Years,5523,Sales,Corporate,Sales,Business,Development,Field,Work,Class2,Junior Level
Cheker,Data Scientist,Work From Home,2021,0 - 10 employees,https://www.instahyre.com/job-248431-data-scientist-at-cheker-work-from-home/,Hari Shankar,1-3 Years,52000,NLP,,,,,,,Class2,Junior Level
inFeedo,DevOps Engineer,Work From Home,2016,50 - 200 employees,https://www.instahyre.com/job-248439-devops-engineer-at-infeedo-2-work-from-home/,Richa Anchan,1-3 Years,31000,CI,CD,Linux,Ansible,AWS,Jenkins,New,Class2,Junior Level
Money View,SDE II,Bangalore,2014,200 - 500 employees,https://www.instahyre.com/job-248435-sde-ii-at-money-view-bangalore/,Vishal Negi,4-6 Years,10270,Java,Python,Golang,Google,Cloud,AWS,,Class2,Mid-Level
MyStyle Communications,Business Development Manager,Bangalore,2015,0 - 10 employees,https://www.instahyre.com/job-248441-business-development-manager-at-mystyle-communications-bangalore/,Sheetal Surana,1-2 Years,197,Business,Development,,,,,,Class2,Junior Level
OpenText,QA,Bangalore,1991,More than 1000 employees,https://www.instahyre.com/job-248437-qa-at-opentext-2-bangalore/,Udeshna Boruah Kalita,2-5 Years,295000,Selenium,Linux,,,,,,Class1,Junior Level
Paytm Payments Bank,Senior Android Developer,Noida,2017,500 - 1000 employees,https://www.instahyre.com/job-248432-senior-android-developer-at-paytm-payments-bank-noida/,Vaishali Kumari,4-7 Years,121273,Android,Data,Structures,Java,Jira,Kotlin,,Class4,Mid-Level
RingCentral,Senior Backend Development Engineer,Bangalore,2003,More than 1000 employees,https://www.instahyre.com/job-248429-senior-backend-development-engineer-at-ringcentral-bangalore/,Deepa Singh,6-10 Years,210074,Java,Spring,,,,,,Class1,Mid-Level
Cheker,DevOps Engineer,Work From Home,2021,0 - 10 employees,https://www.instahyre.com/job-248425-devops-engineer-at-cheker-work-from-home/,Hari Shankar,3-7 Years,52000,DevOps,,,,,,,Class2,Junior Level
NinjaCart,Backend Developer,Bangalore,2015,More than 1000 employees,https://www.instahyre.com/job-248423-backend-developer-at-ninjacart-bangalore/,Shweta Agrawal,6-11 Years,207752,Java,Spring,Spring,Boot,Microservices,,,Class1,Mid-Level
OpenText,QA Automation,Bangalore,1991,More than 1000 employees,https://www.instahyre.com/job-248428-qa-automation-selenium-c-at-opentext-2-bangalore/,Udeshna Boruah Kalita,2-7 Years,295000,Selenium,Linux,Postman,CI,CD,,,Class1,Junior Level
Patch Infotech,Python Developer,Work From Home,2016,50 - 200 employees,https://www.instahyre.com/job-248422-python-developer-at-patch-infotech-work-from-home/,Vandana Saxena,3-7 Years,4000,Python,Flask,,,,,,Class2,Junior Level
Planview,Software Engineer II,Bangalore,1989,500 - 1000 employees,https://www.instahyre.com/job-248426-software-engineer-ii-at-planview-bangalore/,Pooja Sharma,5-7 Years,42000,JavaScript,Java,,,,,,Class4,Mid-Level
Preqin,Financial Planning & Analysis Manager,Bangalore,2003,200 - 500 employees,https://www.instahyre.com/job-248420-financial-planning-analysis-manager-at-preqin-bangalore/,Simran,5-10 Years,114866,Financial,Planning,Chartered,Accountant,Financial,Analysis,,Class2,Mid-Level
Recrosoft Technologies,Senior Deveops Engineer,Noida,2012,200 - 500 employees,https://www.instahyre.com/job-248419-senior-deveops-engineer-at-recrosoft-technologies-noida/,Pradeep Yadav,Fresher,49377,DevOps,Azure,Jenkins,CI,CD,AWS,,Class2,Fresher
Tekion,Staff Engineer Frontend,Bangalore,2016,50 - 200 employees,https://www.instahyre.com/job-248427-staff-engineer-frontend-at-tekion-bangalore/,Khushboo Kothari,7-11 Years,80000,JavaScript,HTML,CSS,,,,,Class2,Senior Level
Vymo,Senior Quality Assurance,Bangalore,2013,50 - 200 employees,https://www.instahyre.com/job-248421-senior-quality-assurance-at-vymo-bangalore/,Sreya Mazumdar,Fresher,106487,Automation,Testing,Manual,Testing,Mobile,Apps,Testing,Class2,Fresher
91Squarefeet,Operations Manager,Mumbai,2019,50 - 200 employees,https://www.instahyre.com/job-248413-operations-manager-at-91squarefeet-mumbai/,Swapnil Nautiyal,Fresher,8283,Project,Management,Vendor,Management,Site,Engineering,,Class2,Fresher
91Squarefeet,Zonal Manager,Mumbai,2019,50 - 200 employees,https://www.instahyre.com/job-248416-zonal-manager-at-91squarefeet-mumbai/,Swapnil Nautiyal,4-8 Years,8283,Operations,Management,Vendor,Management,,,,Class2,Mid-Level
Clear,Architect,Bangalore,2011,More than 1000 employees,https://www.instahyre.com/job-248409-architect-at-clear-bangalore/,Shoyeeb Ahamed Magami,12-17 Years,7017,Java,Python,Architecture,Golang,,,,Class1,Senior Level
Deutsche Bank,DevOps Engineer VP,Pune,1900,More than 1000 employees,https://www.instahyre.com/job-248410-devops-engineer-vp-at-deutsche-bank-pune/,Lithin Raj,14-19 Years,1921024,DevOps,CI,CD,Jenkins,Deployment,Azure,,Class1,Senior Level
Global Logics,Senior Full Stack Engineer,Bangalore,2014,0 - 10 employees,https://www.instahyre.com/job-248418-senior-full-stack-engineer-at-global-logics-bangalore/,Ayushi Jain,6-9 Years,747993,AWS,Spring,MongoDB,Spring,Boot,,,Class2,Mid-Level
Hewlett Packard Enterprise (HPE),Cloud Software Architect,Bangalore,2015,More than 1000 employees,https://www.instahyre.com/job-248407-cloud-software-architect-at-hewlett-packard-enterprise-hpe-bangalore/,Varsha Gaitonde,9-14 Years,3584056,Terraform,Ansible,Automation,Testing,DevOps,,,Class1,Senior Level
Incture Technologies,Java Backend Developer,Bangalore,2006,200 - 500 employees,https://www.instahyre.com/job-248417-java-backend-developer-at-incture-technologies-bangalore/,Shivam Sharma,4-9 Years,46366,Java,Azure,Maven,Microservices,Spring,,,Class2,Mid-Level
Open Financial Technologies,Regional Manager,Bangalore,2017,200 - 500 employees,https://www.instahyre.com/job-248415-regional-manager-at-open-financial-technologies-bangalore/,Libin O K,6-9 Years,35000,Business,Development,Direct,Sales,Sales,,,Class2,Mid-Level
